>>>python train_siamese_network.py 

2020-09-18 17:23:49.530751: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2020-09-18 17:23:49.560168: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2000000000 Hz
2020-09-18 17:23:49.568106: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56278723bc30 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-09-18 17:23:49.568203: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version

Iteration 65/1000000: Train loss: 5.067168, Train Accuracy: 0.625000, lr = 0.001000
Iteration 66/1000000: Train loss: 5.065540, Train Accuracy: 0.593750, lr = 0.001000
Iteration 67/1000000: Train loss: 5.065038, Train Accuracy: 0.484375, lr = 0.001000
Iteration 68/1000000: Train loss: 5.062335, Train Accuracy: 0.609375, lr = 0.001000
Iteration 69/1000000: Train loss: 5.060903, Train Accuracy: 0.578125, lr = 0.001000
Iteration 70/1000000: Train loss: 5.059654, Train Accuracy: 0.578125, lr = 0.001000
Iteration 71/1000000: Train loss: 5.057448, Train Accuracy: 0.593750, lr = 0.001000
Iteration 72/1000000: Train loss: 5.054018, Train Accuracy: 0.625000, lr = 0.001000
Iteration 73/1000000: Train loss: 5.055539, Train Accuracy: 0.484375, lr = 0.001000
Iteration 74/1000000: Train loss: 5.052588, Train Accuracy: 0.625000, lr = 0.001000
Iteration 75/1000000: Train loss: 5.052225, Train Accuracy: 0.515625, lr = 0.001000
Iteration 76/1000000: Train loss: 5.050237, Train Accuracy: 0.546875, lr = 0.001000
Iteration 77/1000000: Train loss: 5.048760, Train Accuracy: 0.531250, lr = 0.001000
Iteration 78/1000000: Train loss: 5.048028, Train Accuracy: 0.406250, lr = 0.001000
Iteration 79/1000000: Train loss: 5.040928, Train Accuracy: 0.578125, lr = 0.001000
Iteration 80/1000000: Train loss: 5.041959, Train Accuracy: 0.593750, lr = 0.001000
Iteration 81/1000000: Train loss: 5.041962, Train Accuracy: 0.453125, lr = 0.001000
Iteration 82/1000000: Train loss: 5.040389, Train Accuracy: 0.531250, lr = 0.001000
Iteration 83/1000000: Train loss: 5.035788, Train Accuracy: 0.671875, lr = 0.001000
Iteration 84/1000000: Train loss: 5.035006, Train Accuracy: 0.515625, lr = 0.001000
Iteration 85/1000000: Train loss: 5.033050, Train Accuracy: 0.609375, lr = 0.001000
Iteration 86/1000000: Train loss: 5.032260, Train Accuracy: 0.593750, lr = 0.001000
Iteration 87/1000000: Train loss: 5.028875, Train Accuracy: 0.640625, lr = 0.001000
Iteration 88/1000000: Train loss: 5.028942, Train Accuracy: 0.609375, lr = 0.001000
Iteration 89/1000000: Train loss: 5.028404, Train Accuracy: 0.531250, lr = 0.001000
